Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0.0,,"rectus abdominis, obliques","1. Start in a plank position with your partner facing you. 2. Each partner holds one end of the exercise band. 3. While maintaining a single-arm plank, pull the band towards you while your partner pulls the opposite end."
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Average,,,rectus abdominis,"1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the band behind your head, keeping tension. 3. Crunch your torso up towards your knees while keeping your lower back pressed into the ground."
2,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Cardio,Full Body,Bands,Intermediate,,,"hips, glutes, core",1. Start in a plank position with a resistance band around your thighs. 2. Jump your feet in towards your hands and then back out to the starting position. 3. Repeat for the desired number of repetitions.
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Average,,,rectus abdominis,"1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the band behind your head, keeping tension. 3. Crunch your torso up towards your knees while keeping your lower back pressed into the ground."
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Beginner,,,"rectus abdominis, obliques","1. Lie on your back with your knees bent and feet flat on the floor. 2. Place your hands behind your head. 3. Lift your shoulders off the ground by engaging your core, then lower back down."
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"rectus abdominis, deep core, shoulders, upper back",1. Lie on a decline bench with your feet secured. 2. Hold a resistance band or weight at chest level. 3. Perform a sit-up by lifting your upper body towards your knees while pressing the band forward. 4. Lower back down with control.
6,FYR2 Banded Frog Pump,The FYR2 Banded Frog Pump is a glute activation exercise that targets the glutes and hamstrings. It is performed using a resistance band to add extra tension.,Strength,Abdominals,Bands,Beginner,,,"gluteus maximus, gluteus medius, hamstrings",1. Lie on your back with your feet together and knees bent out to the sides. 2. Place a resistance band around your thighs just above your knees. 3. Press your feet together and lift your hips towards the ceiling. 4. Squeeze your glutes at the top and lower back down.
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"upper abdominals, obliques",1. Stand with your feet shoulder-width apart and hold a resistance band anchored at a low point. 2. Pull the band diagonally across your body while twisting your torso. 3. Return to the starting position and repeat on the other side.
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Advanced,8.9,Average,"rectus abdominis, core","1. Kneel on the floor with a barbell in front of you. 2. Grip the barbell with both hands and roll it forward while keeping your core tight. 3. Roll out as far as you can while maintaining control, then roll back to the starting position."
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Advanced,8.9,Average,"rectus abdominis, core","1. Kneel on the floor with a barbell in front of you. 2. Grip the barbell with both hands and roll it forward while keeping your core tight. 3. Roll out as far as you can while maintaining control, then roll back to the starting position."
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Average,8.5,Average,"Rectus Abdominis, Obliques, Shoulders, Upper Back","1. Lie on a decline bench with your feet secured. 2. Hold a barbell above your chest with arms extended. 3. Engage your core and lift your torso towards your knees, then lower back down."
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Advanced,8.3,Average,"Rectus Abdominis, Shoulders",1. Kneel on a bench with a barbell in front of you. 2. Grip the barbell and roll it forward while keeping your core tight. 3. Roll back to the starting position.
12,Barbell Side Bend,The Barbell Side Bend is an exercise that targets the obliques and helps improve lateral core strength.,Strength,Abdominals,Barbell,Intermediate,7.0,Average,"Obliques, Rectus Abdominis","1. Stand with your feet shoulder-width apart holding a barbell across your shoulders. 2. Slowly bend to one side, keeping your back straight. 3. Return to the starting position and repeat on the other side."
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Average,4.7,Average,"Obliques, Rectus Abdominis","1. Sit on a bench with a barbell held across your shoulders. 2. Rotate your torso to one side, then return to the center. 3. Repeat on the other side."
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Power,Full Body,Barbell,Advanced,,,"Back, Shoulders, Core, Legs","1. Stand with a barbell anchored in a landmine device. 2. Pull the barbell towards your body while rotating your torso. 3. Press the barbell overhead with one arm, then return to the starting position."
