Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0.0,,"Abdominals, Core","1. Start in a plank position facing your partner, with your feet shoulder-width apart. 2. Each partner should hold one end of an exercise band with one hand. 3. Engage your core and maintain a straight line from head to heels. 4. While holding the plank, pull the band towards your side, using your free hand to stabilize. 5. Alternate sides for the desired number of reps or time."
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Core","1. Secure a resistance band around your feet or behind your head. 2. Lie on your back with your knees bent and feet flat on the floor. 3. Engage your core and lift your shoulders off the ground, performing a crunch. 4. Hold the crunch position for the desired duration, maintaining tension in the band. 5. Lower back down with control and repeat."
2,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Intermediate,,,"Abdominals, Hips, Glutes","1. Start in a plank position with a resistance band around your thighs. 2. Engage your core and keep your body in a straight line. 3. Jump your feet out wide and then back together, maintaining the plank position. 4. Perform the jumping motion for the desired number of reps."
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Core","1. Secure a resistance band around your feet or behind your head. 2. Lie on your back with your knees bent and feet flat on the floor. 3. Engage your core and lift your shoulders off the ground, performing a crunch. 4. Focus on squeezing your abdominal muscles at the top of the movement. 5. Lower back down with control and repeat for the desired number of reps."
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques, Core","1. Lie on your back with your knees bent and feet flat on the floor. 2. Place your hands behind your head or crossed over your chest. 3. Engage your core and lift your shoulders off the ground, curling your torso towards your knees. 4. Hold for a moment at the top, then lower back down with control. 5. Repeat for the desired number of reps."
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Deep Core, Shoulders, Upper Back","1. Secure a resistance band behind your head and hold it with both hands. 2. Lie on a decline bench with your feet secured. 3. Engage your core and perform a sit-up by lifting your torso towards your knees. 4. As you sit up, press the band forward to add resistance. 5. Lower back down with control and repeat for the desired number of reps."
6,FYR2 Banded Frog Pump,"The FYR2 Banded Frog Pump is an exercise that targets the glutes and hamstrings. It involves lying on your back with your feet elevated and banded, performing a pumping motion to engage the lower body effectively.",Strength,Abdominals,Bands,Intermediate,,,"Glutes, Hamstrings, Core","1. Lie on your back with your feet elevated and the resistance band secured around your thighs. 2. Engage your core and keep your feet together. 3. Perform a pumping motion by lifting your hips off the ground while squeezing your glutes. 4. Hold for a moment at the top, then lower back down. 5. Repeat for the desired number of reps."
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"Upper Abdominals, Obliques, Core","1. Stand with your feet shoulder-width apart, holding a resistance band with both hands. 2. Start with the band at your hips, then twist your torso to bring the band up and across your body to shoulder height. 3. Control the movement as you return to the starting position. 4. Alternate sides for the desired number of reps."
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"Abdominals, Core","Kneel on the floor with the barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips down. Roll out as far as you can while maintaining control, then pull the barbell back towards you to return to the starting position."
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"Abdominals, Core","Kneel on the floor with the barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips down. Roll out as far as you can while maintaining control, then pull the barbell back towards you to return to the starting position."
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,"Lower Abdominals, Shoulders, Upper Back",Lie on a decline bench with a barbell held above your chest. Engage your core and perform a sit-up by pressing the barbell upward while lifting your torso towards your knees. Lower back down with control to the starting position and repeat for the desired number of reps.
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,"Abdominals, Core","Kneel on a bench with a barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips down. Roll out as far as you can while maintaining control, then pull the barbell back towards you to return to the starting position."
12,Barbell Side Bend,"The Barbell Side Bend is an effective exercise for targeting the oblique muscles. To perform this exercise, stand with your feet shoulder-width apart while holding a barbell across your shoulders. Slowly bend to one side, keeping your core engaged, and return to the starting position. Repeat on the other side. This exercise helps improve core strength and stability.",Strength,Abdominals,Barbell,Beginner,7.0,Average,"Obliques, Rectus Abdominis","Stand with your feet shoulder-width apart and a barbell resting across your shoulders. Engage your core and slowly bend to one side, keeping your back straight. Return to the starting position and repeat on the other side. Perform for the desired number of reps."
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,"Obliques, Rectus Abdominis","Sit on the floor with your legs extended and hold a barbell with both hands. Twist your torso to one side, bringing the barbell across your body, then return to the center and twist to the other side. Repeat for the desired number of reps."
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,Barbell,Intermediate,,,"Obliques, Rectus Abdominis","Stand with a barbell anchored in a landmine device. Grip the barbell with one hand and pull it towards your body while rotating your torso. Once the barbell is near your shoulder, press it overhead. Repeat for the desired number of reps, then switch arms."
