Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0.0,,"rectus abdominis, obliques",1. Start in a plank position with your partner. 2. Each partner pulls on opposite ends of the exercise band while maintaining a single-arm plank.
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,rectus abdominis,"1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the band above your head and perform a crunch, pulling the band while engaging your core."
2,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Cardio,Full Body,Bands,Intermediate,,,"hips, glutes, core",1. Start in a plank position with a resistance band around your thighs. 2. Jump your feet in and out while maintaining a strong plank position.
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,rectus abdominis,"1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the band above your head and perform a crunch, pulling the band while engaging your core."
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,,,"rectus abdominis, obliques","1. Lie on your back with your knees bent and feet flat on the floor. 2. Lift your shoulders off the ground by contracting your abdominal muscles, then lower back down."
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"rectus abdominis, shoulders, upper back","1. Lie on a decline bench with your feet secured. 2. Hold a resistance band or weight at chest level, then perform a sit-up while pressing the band or weight upwards."
6,FYR2 Banded Frog Pump,The FYR2 Banded Frog Pump is a glute activation exercise that targets the glutes and helps improve hip mobility. It is performed with a resistance band to increase the challenge.,Strength,Abdominals,Bands,Intermediate,,,"gluteus maximus, gluteus medius, hamstrings","1. Lie on your back with the soles of your feet together and knees bent out to the sides. 2. Place a resistance band around your thighs, then thrust your hips upward, squeezing your glutes at the top."
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,"upper abdominals, obliques","1. Stand with your feet shoulder-width apart, holding a resistance band anchored at a low point. 2. Twist your torso to pull the band from low to high, engaging your core throughout the movement."
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"rectus abdominis, obliques","1. Kneel on the floor with a barbell in front of you. 2. Grasp the barbell with both hands, then roll it forward while keeping your core tight, and return to the starting position."
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,"rectus abdominis, obliques","1. Kneel on the floor with a barbell in front of you. 2. Grasp the barbell with both hands, then roll it forward while keeping your core tight, and return to the starting position."
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,"Rectus Abdominis, Obliques, Shoulders, Upper Back",1. Lie on a decline bench with your feet secured. 2. Hold a barbell above your chest with arms extended. 3. Engage your core and perform a sit-up while pressing the barbell upward.
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,"Rectus Abdominis, Shoulders, Triceps",1. Kneel on a bench with a barbell in front of you. 2. Grip the barbell with both hands and roll it forward while keeping your core tight. 3. Roll back to the starting position.
12,Barbell Side Bend,The Barbell Side Bend is an exercise that targets the oblique muscles and helps in building core strength.,Strength,Abdominals,Barbell,Beginner,7.0,Average,"Obliques, Rectus Abdominis, Erector Spinae","1. Stand with a barbell held in one hand at your side. 2. Slowly bend to the side, bringing the barbell down towards your knee. 3. Return to the starting position and repeat."
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,"Obliques, Rectus Abdominis, Erector Spinae","1. Sit on a bench with a barbell across your shoulders. 2. Rotate your torso to one side, then return to the center. 3. Repeat on the other side."
