Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles,HowTo
0,Partner plank band row,"The partner plank band row is a core-strengthening exercise where two partners perform single-arm planks while pulling on opposite ends of an exercise band. This exercise enhances stability and engages the abdominal muscles, and can be performed for time or repetitions in any ab-focused workout.",Core,Back,Bands,Intermediate,0.0,,"Latissimus Dorsi, Rhomboids, Trapezius, Biceps","1. Begin in a plank position facing your partner, with your body straight and core engaged. 2. Each partner holds one end of the resistance band. 3. While maintaining the plank position, pull the band towards you with one arm, engaging your core and stabilizing your body. 4. Alternate arms, performing the exercise for a set time or number of repetitions."
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise that targets the abdominal muscles, particularly the rectus abdominis or 'six-pack' muscles. The use of a band adds resistance and maintains continuous tension, making this a highly effective variation of the traditional crunch.",Core,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques","1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the resistance band with both hands, anchoring it behind your head. 3. Engage your core and lift your shoulders off the ground, pulling against the band. 4. Hold the crunch position for a specified time, maintaining tension in the band."
2,FYR Banded Plank Jack,"The FYR banded plank jack is a dynamic variation of the plank that involves moving the legs in and out while maintaining a plank position. The resistance band around the thighs increases the intensity of the exercise, engaging the hips and glutes more effectively. This exercise is commonly included in bodyweight circuits or dynamic warm-ups.",Core,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors",1. Start in a plank position with a resistance band around your thighs. 2. Engage your core and keep your body straight. 3. Jump your feet out to the sides and then back together while maintaining the plank position. 4. Repeat for a set number of repetitions or for a specific duration.
3,Banded crunch,"The banded crunch is an effective exercise that targets the abdominal muscles, especially the rectus abdominis or 'six-pack' muscles. The resistance band provides added tension throughout the movement, enhancing the effectiveness of this popular core exercise.",Core,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques","1. Lie on your back with your knees bent and feet flat on the floor. 2. Hold the resistance band with both hands, anchoring it behind your head. 3. Engage your core and lift your shoulders off the ground, pulling against the band. 4. Lower back down and repeat for a set number of repetitions."
4,Crunch,"The crunch is a fundamental core exercise that primarily targets the rectus abdominis, or 'six-pack' muscles, while also engaging the obliques. Its simplicity and effectiveness have made it a staple in many ab-focused workouts, and it can be performed for time or repetitions to achieve a strong mind-muscle connection.",Core,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors","1. Lie on your back with your knees bent and feet flat on the floor. 2. Place your hands behind your head or cross them over your chest. 3. Engage your core and lift your shoulders off the ground, squeezing your abdominal muscles. 4. Lower back down and repeat for a set number of repetitions."
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or 'six pack' muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Core,Abdominals,Bands,Intermediate,,,"Rectus Abdominis, Obliques, Pectorals, Shoulders","To perform the decline band press sit-up, set up a decline bench and secure a resistance band around your upper back. Lie back on the bench with your feet anchored. Engage your core and press through your abs to lift your torso towards your knees, while simultaneously pressing the band forward. Lower back down with control and repeat for 8-12 reps."
6,FYR2 Banded Frog Pump,"The FYR2 banded frog pump is a glute-focused exercise that targets the gluteus maximus and helps improve hip extension and strength. To perform this exercise, lie on your back with your feet together and knees bent out to the sides, creating a diamond shape with your legs. Use a resistance band around your thighs to add extra tension. Push through your heels and squeeze your glutes at the top of the movement, then lower back down with control. It is typically performed for moderate to high reps, such as 10-20 reps per set.",Core,Glutes,Bands,Intermediate,,,"Gluteus Maximus, Gluteus Medius, Hamstrings","To perform the FYR2 banded frog pump, lie on your back with your feet together and knees bent out to the sides, forming a diamond shape with your legs. Place a resistance band around your thighs just above your knees. Press your heels into the ground, lift your hips towards the ceiling while squeezing your glutes at the top, then lower back down with control. Repeat for 10-20 reps."
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Core,Obliques,Bands,Intermediate,,,"Obliques, Rectus Abdominis, Transverse Abdominis","To perform the band low-to-high twist, anchor a resistance band at a low point on one side. Stand with your feet shoulder-width apart and hold the band with both hands. Rotate your torso away from the anchor point, pulling the band up and across your body to shoulder height. Control the movement back to the starting position. Repeat for 8-15 reps per side."
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Core,Abdominals,Barbell,Intermediate,8.9,Average,"Rectus Abdominis, Transverse Abdominis, Obliques","To perform the barbell roll-out, kneel on the floor with a barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips and shoulders aligned. Roll out as far as you can while maintaining control, then pull the barbell back towards your knees to return to the starting position. Start with a few reps and increase as you gain strength."
9,Barbell Ab Rollout - On Knees,"The barbell rollout on knees is a variation of the barbell roll-out exercise that is performed from a kneeling position. This modification allows for a slightly easier progression for beginners while still effectively targeting the core muscles. It is best performed with a barbell that has rotating collars, and many lifters may find it challenging at first. As strength improves, they can increase the range of motion and perform these for reps to develop a strong core.",Core,Abdominals,Barbell,Intermediate,8.9,Average,"Rectus Abdominis, Transverse Abdominis, Obliques","To perform the barbell rollout on knees, kneel on the floor with a barbell in front of you. Grip the barbell with both hands, shoulder-width apart. Engage your core and roll the barbell forward, extending your body while keeping your hips and shoulders aligned. Roll out as far as you can while maintaining control, then pull the barbell back towards your knees to return to the starting position. Start with a few reps and gradually increase as you build strength."
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also engages the shoulders and upper back to stabilize and move the weight. This exercise is typically performed for moderate to high reps, such as 8-12 reps per set or more, as part of a core-focused workout.",Core,Abdominals,Barbell,Intermediate,8.5,Average,"Rectus Abdominis, Hip Flexors","Lie on a decline bench with your feet secured. Hold a barbell above your chest with arms extended. Lower the barbell towards your chest while engaging your core, then press it back up to the starting position. Repeat for 8-12 reps."
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but the use of a barbell allows for a wider grip. By placing the knees on a bench instead of the floor, the exercise increases the challenge to the upper body, making it more difficult.",Core,Abdominals,Barbell,Beginner,8.3,Average,"Rectus Abdominis, Transverse Abdominis, Obliques","Kneel on a bench with a barbell in front of you. Grip the barbell with both hands and roll it forward, extending your body while keeping your core tight. Roll back to the starting position, engaging your abs throughout the movement. Repeat for desired reps."
12,Barbell Side Bend,The barbell side bend is a core exercise that targets the oblique muscles. It involves holding a barbell in one hand and bending sideways at the waist to engage the side muscles. This exercise can be performed for moderate to high reps and is effective for building lateral core strength.,Core,Obliques,Barbell,Beginner,7.0,Average,"Obliques, Rectus Abdominis","Stand with your feet shoulder-width apart, holding a barbell in one hand. Bend sideways at the waist, lowering the barbell towards your knee while keeping your other hand on your hip. Return to the starting position and repeat for moderate to high reps, then switch sides."
13,Seated bar twist,"The seated bar twist is a core exercise designed to strengthen the obliques. It is often performed for high reps with relatively light weights, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. This exercise can be incorporated during a workout, at the end of a workout, or done outside of the gym to enhance core strength and stability.",Core,Obliques,Barbell,Intermediate,4.7,Average,"Obliques, Rectus Abdominis, Erector Spinae","Sit on the floor with your legs extended and hold a barbell across your shoulders. Rotate your torso to one side, then return to the center and rotate to the other side. Perform for high reps, focusing on controlled movements."
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement that utilizes a barbell anchored in a landmine device. This exercise combines a pulling motion from the floor with a rotational movement, finishing with a pressing action. It is typically performed for low reps per set, focusing on speed and proper form rather than lifting heavy weights.",Strength,Shoulders,Barbell,Intermediate,,,"Deltoids, Trapezius, Core","Stand holding one end of a barbell anchored in a landmine device. Start with the barbell at your hip, then pull it up while rotating your torso and pressing it overhead. Focus on speed and form, performing for low reps."
15,Barbell Ab Roll Out - Gethin Variation,"The Barbell Ab Roll Out - Gethin Variation is an advanced abdominal exercise that uses a barbell instead of a traditional ab roller. It is recommended to use a barbell with rotating collars for optimal performance. This exercise is more challenging than standard ab roller variations, and many beginners may struggle to complete even one repetition initially. However, with practice, individuals can build the strength to perform multiple reps, leading to significant improvements in core strength and stability.",Core,Core,Barbell,Intermediate,,,"Rectus Abdominis, Transverse Abdominis, Obliques","1. Start by kneeling on the floor with a barbell in front of you, ensuring the barbell has rotating collars. 2. Grip the barbell with both hands, positioning your hands shoulder-width apart. 3. Engage your core and slowly roll the barbell forward, extending your body while keeping your hips aligned with your shoulders. 4. Roll out as far as you can while maintaining control, avoiding sagging your lower back. 5. Pause briefly at the end of the movement, then use your core muscles to pull the barbell back towards your knees, returning to the starting position. 6. Repeat for the desired number of repetitions, focusing on form and stability."
